,county,pop2010all,pop2014all,pop2017all,median_age_2010,median_age_2014,median_age_2017,fips,met_healthy_people_obj,age_adjust_death_rate,death_lower_95_CI,death_upper_95_CI,avg_ann_count,recent_trend,recent_5yr_trend,5yr_lower_95_CI,5yr_upper_95_CI,hospice_count,pop2010_50_and_over,pop2014_50_and_over,pop2017_50_and_over,percent_pop2010_50_and_over,percent_pop2014_50_and_over,percent_pop2017_50_and_over,normalized_hospice_rate,FIPS,State,2010_HealthOutcomes_Z-Score,2010_HealthOutcomes_Rank,2010_HealthFactors_Z-Score,2010_HealthFactors_Rank,2010_Mortality_Z-Score,2010_Mortality_Rank,2010_Morbidity_Z-Score,2010_Morbidity_Rank,2010_HealthBehaviors_Z-Score,2010_HealthBehaviors_Rank,2010_ClinicalCare_Z-Score,2010_ClinicalCare_Rank,2014_HealthOutcomes_Z-Score,2014_HealthOutcomes_Rank,2014_HealthFactors_Z-Score,2014_HealthFactors_Rank,2014_Length_of_Life_Z-Score,2014_Length_of_Life_Rank,2014_Quality_of_Life_Z-Score,2014_Quality_of_Life_Rank,2014_HealthBehaviors_Z-Score,2014_HealthBehaviors_Rank,2014_ClinicalCare_Z-Score,2014_ClinicalCare_Rank,2017_HealthOutcomes_Z-Score,2017_HealthOutcomes_Rank,2017_HealthFactors_Z-Score,2017_HealthFactors_Rank,2017_Length_of_Life_Z-Score,2017_Length_of_Life_Rank,2017_Quality_of_Life_Z-Score,2017_Quality_of_Life_Rank,2017_HealthBehaviors_Z-Score,2017_HealthBehaviors_Rank,2017_ClinicalCare_Z-Score,2017_ClinicalCare_Rank,2010_Percent_Fair_Poor_Health,2010_Percent_Smokers,2010_Percent_Obese,2010_Percent_Uninsured,2010_Air_Pollution_Part_Matter_Z-Score,2014_Percent_Fair_Poor_Health,2014_Percent_Smokers,2014_Percent_Obese,2014_Food_Environ_Index_Z-Score,2014_Percent_Physically_Inactive,2014_Percent_Uninsured,2014_Air_Pollution_Part_Matter_Z-Score,2017_Percent_Fair_Poor_Health,2017_Percent_Smokers,2017_Percent_Obese,2017_Food_Environ_Index_Z-Score,2017_Percent_Physically_Inactive,2017_Percent_Uninsured,2017_Air_Pollution_Part_Matter_Z-Score
36,Hawkins,56872,56368,56459,42.2,43.9,45.1,47073,No,196.7,182.6,211.7,152,stable,0.1,-0.3,0.5,0,21804,23164,24078,38.33872556,41.09423787,42.64687649,0.0,47073,Tennessee,-0.25,33,-0.08,36,-0.25,26,0.0,49,0.1,77,-0.13,11,0.13,58,-0.23,26,0.01,53,0.12,67,-0.02,45,-0.07,24,0.45,70,-0.01,45,0.43,79,0.02,48,-0.03,40,-0.04,32,23.15,27.78,32.2,12.8,-0.385920484,25.8,26.2,34.5,-0.28741027,32.8,15.91638495,-1.309332215,20.45323638,22.109058100000002,32.9,-0.035982916000000004,38.8,12.78651093,1.392409321
37,Haywood,18812,18164,17573,39.3,40.4,41.7,47075,No,187.8,162.8,215.7,43,falling,-1.0,-1.9,-0.1,0,6660,6947,7113,35.4029343,38.24598106,40.47686792,0.0,47075,Tennessee,0.28,67,0.82,94,0.25,71,0.04,55,0.25,90,0.03,59,0.59,78,0.47,83,0.12,66,0.47,87,0.12,79,0.0,46,1.38,94,0.65,91,0.38,75,1.0,95,0.29,93,-0.02,41,,18.89,35.4,12.3,0.878301792,25.1,17.3,38.7,3.0,32.9,16.61252309,-0.49939205299999995,28.21286404,23.94046394,38.4,3.0,35.8,14.309363000000001,-0.282006951
38,Henderson,27789,27987,27751,39.8,40.5,41.2,47077,No,207.0,185.7,230.2,72,stable,-0.4,-1.0,0.3,0,9751,10424,10831,35.08942387,37.24586415,39.02922417,0.0,47077,Tennessee,0.55,76,0.22,75,0.65,85,-0.09,38,0.11,81,0.05,69,-0.36,28,0.2,66,-0.15,36,-0.21,25,0.15,82,0.01,51,0.42,69,0.13,57,0.09,58,0.34,81,0.07,68,0.03,50,20.11,31.48,29.0,13.6,0.035486941,16.8,25.9,36.4,0.08014229,34.8,15.95843936,0.8167607109999999,21.92374707,22.01234233,34.8,0.261267258,36.5,13.78565255,-0.8401457090000001
39,Henry,32402,32246,32450,44.4,45.0,45.6,47079,No,200.0,182.3,219.2,99,stable,-0.4,-1.0,0.1,1,13596,14023,14465,41.96037282,43.48756435,44.57627119,3.0816640989999997,47079,Tennessee,0.47,75,0.25,79,0.37,76,0.1,61,0.09,73,0.04,62,0.72,81,0.23,69,0.62,86,0.1,64,0.12,78,-0.08,23,0.14,55,-0.08,38,0.11,60,0.03,49,0.03,58,-0.07,22,22.35,24.0,32.1,14.6,-0.385920484,26.7,28.1,35.2,0.507480288,34.2,17.764953600000002,1.525458353,21.22286247,21.70463731,33.7,0.7071425170000001,36.9,15.27154758,-0.282006951
40,Hickman,24647,24431,24864,40.1,41.0,41.3,47081,No,201.0,178.4,225.9,60,stable,-0.4,-1.3,0.4,0,8575,9074,9563,34.79125249,37.14133683,38.46122909,0.0,47081,Tennessee,0.3,68,0.1,59,0.13,62,0.17,73,0.04,59,0.07,73,0.33,69,0.28,74,0.13,67,0.2,74,0.19,85,0.05,66,-0.04,46,0.14,58,-0.08,41,0.04,53,0.08,70,0.07,72,21.17,,30.9,17.4,0.035486941,23.6,37.7,33.7,-0.8774247829999999,33.7,18.62001844,1.788688905,21.46294447,23.96812268,32.1,-0.630483262,32.7,15.65385217,-1.0261919609999999
41,Houston,8447,8216,8213,41.9,43.1,43.5,47083,No,227.4,188.9,272.1,26,stable,0.4,-0.6,1.3,0,3306,3345,3423,39.13815556,40.71324245,41.67782783,0.0,47083,Tennessee,0.32,70,0.19,70,0.57,82,-0.25,18,0.03,53,0.18,90,-0.7,14,0.11,56,-0.21,32,-0.49,4,0.02,58,0.14,87,-0.66,19,0.27,73,-0.45,14,-0.22,26,0.06,63,0.09,77,,,29.8,17.0,-0.385920484,,,32.4,-0.715320863,33.1,16.8492745,2.132913474,22.56554855,23.17454792,33.2,-0.184608002,30.9,14.37878788,-1.0261919609999999
42,Humphreys,18558,18148,18484,42.0,43.2,43.6,47085,No,212.3,187.3,240.1,54,stable,-0.2,-0.9,0.5,0,7222,7406,7714,38.91583145,40.80890456,41.73339104,0.0,47085,Tennessee,-0.06,42,-0.08,40,-0.19,33,0.13,67,-0.04,36,0.06,70,-0.2,40,-0.21,28,-0.1,40,-0.1,36,-0.17,13,0.06,72,-0.18,36,-0.16,31,0.16,62,-0.34,18,-0.07,27,0.06,68,,,30.0,14.4,-0.385920484,24.1,22.1,31.6,-0.6628123539999999,28.5,17.04909285,2.335398515,18.02746157,19.76985135,35.6,-0.481858176,32.2,14.04850489,-1.0261919609999999
43,Jackson,11623,11520,11677,44.8,46.4,47.6,47087,No,188.8,159.7,222.5,32,stable,-0.6,-1.8,0.6,0,4898,5176,5446,42.14058333,44.93055556,46.63869144,0.0,47087,Tennessee,0.45,73,0.24,77,0.57,80,-0.11,35,0.02,51,0.12,81,0.15,59,0.22,68,0.31,78,-0.16,32,-0.05,36,0.06,67,0.81,82,0.53,87,0.55,82,0.26,75,0.1,75,0.05,63,,,31.6,14.9,0.035486941,28.9,27.4,30.7,-0.770476257,36.7,19.02908423,0.351045118,23.54674782,24.77335522,34.7,-0.630483262,37.0,15.38631591,-0.468053204
44,Jefferson,51705,52384,53804,41.1,42.9,43.9,47089,No,169.1,155.6,183.6,121,falling,-4.0,-7.0,-1.0,0,19178,20989,22457,37.09119041,40.06757789,41.73853245,0.0,47089,Tennessee,-0.32,27,0.08,53,-0.11,43,-0.21,26,0.18,87,-0.04,31,0.07,53,-0.28,21,-0.07,44,0.14,68,-0.17,12,-0.01,42,-0.76,14,-0.28,22,-0.35,26,-0.41,13,-0.12,17,-0.05,30,18.15,40.23,28.8,15.3,-0.385920484,25.5,25.8,28.4,-0.470548409,33.2,17.54352263,-1.005604654,18.62055609,20.51934675,34.2,-0.779108349,32.1,14.0455163,1.392409321
45,Johnson,18288,17932,17691,43.3,44.7,46.3,47091,No,215.8,190.6,243.8,55,stable,0.1,-0.8,1.1,0,7202,7505,7787,39.38101487,41.85255409,44.01673167,0.0,47091,Tennessee,0.71,86,0.04,51,0.32,73,0.39,85,0.02,50,-0.06,25,0.13,56,0.06,49,-0.06,45,0.19,72,-0.07,23,0.01,49,0.1,51,-0.03,41,-0.08,42,0.18,69,-0.04,34,0.01,49,,,31.8,13.2,-0.80732791,25.6,28.0,31.2,0.30904548600000004,32.8,17.56027074,-1.511817255,22.94958364,24.35578402,29.2,-0.184608002,33.1,15.16025641,-2.514561981
46,Knox,432972,447939,461860,37.2,37.3,37.5,47093,No,177.4,172.1,182.8,890,falling,-1.0,-1.2,-0.8,5,140202,151718,159024,32.38130872,33.870236799999994,34.43121292,1.082579137,47093,Tennessee,-0.85,9,-0.69,2,-0.62,8,-0.23,23,-0.25,5,-0.23,6,-0.67,15,-0.96,2,-0.5,10,-0.18,28,-0.24,5,-0.3,2,-0.96,9,-0.87,5,-0.51,12,-0.45,10,-0.27,3,-0.3,3,15.89,22.22,27.5,13.8,2.563931494,16.7,18.5,29.5,0.22801288600000003,29.4,14.85894458,-0.823368117,17.66279601,18.67724532,29.7,0.5585174310000001,26.7,12.33558974,3.066825593
47,Lake,7828,7669,7468,38.2,39.1,39.7,47095,No,220.4,178.3,270.1,19,stable,-0.3,-1.4,0.8,0,2576,2586,2604,32.9075115,33.72017212,34.86877343,0.0,47095,Tennessee,0.66,81,0.61,92,0.06,55,0.6,93,0.28,91,-0.02,41,0.31,68,0.82,92,0.1,63,0.21,75,0.25,89,0.11,82,1.08,87,1.25,95,0.38,74,0.71,91,0.58,95,0.07,69,,,34.4,11.4,1.7211166430000002,20.7,24.9,32.9,1.3621453780000001,37.6,15.91117216,-0.580386069,26.3217335,27.11842574,37.5,1.301642864,31.7,13.80301941,0.462178059
48,Lauderdale,27719,27360,25274,36.5,37.3,38.6,47097,No,205.6,182.9,230.5,62,falling,-0.6,-1.2,-0.1,0,8499,9053,9089,30.66127927,33.08845029,35.96185804,0.0,47097,Tennessee,0.71,85,1.28,95,0.23,69,0.47,88,0.6,95,-0.07,21,0.83,85,1.14,94,0.17,70,0.66,93,0.42,95,0.1,79,1.35,93,0.97,93,0.44,80,0.91,94,0.47,94,0.01,48,24.1,38.12,34.9,9.9,1.299709218,25.2,32.1,37.0,2.3483860080000003,34.3,16.33677168,-0.580386069,26.89894022,27.4470217,38.3,2.193393384,35.8,13.90614547,0.27613180600000004
49,Lawrence,41967,42210,43396,39.7,40.0,39.7,47099,No,187.3,171.3,204.5,103,falling,-1.0,-1.6,-0.4,0,14868,15612,16276,35.42783616,36.98649609,37.5057609,0.0,47099,Tennessee,-0.21,35,0.1,60,0.1,59,-0.31,13,0.02,49,0.0,49,0.02,48,0.03,47,0.0,52,0.02,52,-0.02,44,-0.01,44,0.01,47,0.0,46,-0.04,48,0.04,52,-0.03,41,0.0,45,25.82,29.44,30.3,13.6,0.878301792,23.3,28.1,31.2,-0.376173472,33.6,17.54345902,-0.276658508,21.23354177,22.004186800000003,34.0,-0.481858176,35.4,15.39639874,-0.468053204
50,Lewis,12174,11896,12035,41.3,43.2,43.9,47101,No,203.5,172.9,238.4,33,stable,-0.6,-1.2,0.0,0,4690,4970,5081,38.52472482,41.77874916,42.21852929,0.0,47101,Tennessee,1.15,91,-0.1,32,0.67,87,0.48,89,-0.18,9,0.02,58,0.04,51,0.39,81,-0.14,37,0.18,71,0.06,68,0.13,85,-0.32,31,0.03,50,-0.14,35,-0.18,28,-0.06,29,0.12,84,,,27.7,13.5,0.035486941,27.6,29.8,32.4,-0.297403209,36.5,18.95405379,0.897754727,20.61134946,21.38150456,34.3,-0.630483262,34.0,16.94490818,-1.770376971
51,Lincoln,33379,33409,33751,41.8,43.0,43.3,47103,No,181.0,163.6,200.0,82,falling,-1.0,-1.6,-0.3,1,12700,13551,13987,38.04787441,40.5609267,41.44173506,2.9628751739999997,47103,Tennessee,-0.1,39,-0.23,21,-0.2,32,0.11,63,0.1,78,-0.05,30,0.2,62,-0.52,13,-0.08,41,0.28,80,-0.05,37,-0.11,14,-0.15,40,-0.34,17,-0.2,32,0.05,54,-0.05,33,-0.07,24,20.98,34.77,29.4,14.9,0.035486941,23.2,24.5,31.7,-0.896441982,33.2,16.509331200000002,-0.519640557,20.01692148,21.15092891,32.1,-0.481858176,34.8,14.42374812,1.206363069
52,Loudon,48702,50533,52152,46.1,47.1,48.0,47105,No,173.9,160.9,187.9,144,falling,-1.2,-1.7,-0.7,0,21759,23396,24824,44.67783664,46.29845843,47.59932505,0.0,47105,Tennessee,-0.39,25,-0.3,18,-0.15,39,-0.24,21,0.01,44,-0.05,27,-0.99,6,-0.65,7,-0.56,8,-0.43,9,-0.15,14,-0.17,9,-0.79,13,-0.66,6,-0.48,13,-0.31,20,-0.33,2,-0.14,12,14.93,24.72,31.1,15.7,0.035486941,12.7,23.6,29.5,-0.517539972,30.1,16.91178412,-0.519640557,18.44158804,18.68603759,27.5,-0.333233089,28.4,15.93083149,1.764501826
53,Macon,22240,22937,24079,38.8,39.0,38.4,47111,No,211.5,187.3,238.1,57,stable,-0.2,-0.7,0.4,0,7470,8019,8442,33.5881295,34.96098008,35.0595955,0.0,47111,Tennessee,0.06,51,0.15,64,0.13,61,-0.06,43,0.03,55,0.17,88,0.78,83,0.59,88,0.83,89,-0.05,42,0.13,81,0.27,93,0.29,63,0.45,83,0.26,69,0.04,51,0.11,80,0.25,93,20.74,,30.6,15.0,-0.80732791,25.7,35.1,33.6,-0.804053756,30.4,20.81242158,0.47253614200000005,21.88213306,23.77246731,34.2,-1.076358522,32.1,17.216993399999996,0.090085554
54,Madison,98250,98064,97643,36.9,38.0,38.7,47113,No,171.0,160.3,182.4,194,falling,-1.0,-1.4,-0.5,2,32228,34677,35891,32.80203562,35.36160059,36.75737124,2.04827791,47113,Tennessee,-0.09,40,-0.15,26,-0.14,40,0.05,57,-0.09,27,-0.25,4,-0.42,24,-0.26,22,-0.41,14,-0.01,49,0.07,71,-0.24,4,-0.32,30,-0.31,20,-0.33,28,0.01,46,-0.02,44,-0.27,4,20.73,19.54,30.5,13.2,0.456894367,19.0,19.6,36.1,1.610781222,31.1,16.62993832,0.209305589,21.90797017,21.18107927,34.3,1.747518124,28.3,12.72071982,-0.09596069900000001
55,Marion,28220,28350,28425,42.3,42.9,43.5,47115,No,216.7,195.8,239.4,83,stable,-0.4,-1.1,0.3,0,10948,11484,11781,38.79518072,40.50793651,41.44591029,0.0,47115,Tennessee,0.61,79,-0.05,43,0.07,56,0.54,92,0.03,57,-0.05,26,0.82,84,-0.02,44,0.22,74,0.6,91,-0.05,34,-0.01,40,0.37,67,0.15,61,0.21,66,0.16,66,-0.01,45,0.01,47,27.03,28.55,30.9,12.5,-0.80732791,27.3,24.7,29.9,-0.63079062,40.6,16.82817503,-0.560137565,19.64040982,21.99602102,32.9,-0.333233089,32.8,14.97296128,0.27613180600000004
56,Marshall,30681,31250,32931,39.0,40.1,39.9,47117,No,204.8,184.0,227.3,75,stable,-0.4,-1.0,0.3,0,10389,11345,12054,33.86134741,36.304,36.60380796,0.0,47117,Tennessee,0.04,48,0.25,78,0.03,53,0.01,50,0.22,88,0.04,66,-0.34,30,-0.05,41,-0.3,25,-0.03,46,-0.08,21,0.01,50,-0.39,27,-0.17,30,-0.41,21,0.01,47,-0.04,36,0.04,55,21.03,28.08,33.5,14.2,0.035486941,21.4,24.7,29.9,-0.01209515,34.7,18.94165127,0.41179063,20.96527316,21.91407726,31.3,-0.927733435,33.1,14.88269516,0.27613180600000004
57,Maury,81174,85345,92163,38.4,38.9,38.7,47119,No,181.1,169.1,193.7,178,falling,-1.0,-1.6,-0.5,0,27835,30727,33117,34.29053638,36.0032808,35.933075099999996,0.0,47119,Tennessee,-0.64,16,-0.03,45,-0.34,18,-0.3,14,0.07,72,-0.07,18,-0.37,27,-0.12,34,-0.24,30,-0.12,34,0.09,74,-0.18,8,-0.51,26,-0.5,13,-0.42,17,-0.09,35,-0.04,35,-0.16,9,18.14,27.33,31.4,13.6,1.7211166430000002,19.8,25.7,35.3,0.221243437,34.4,15.74742268,0.938251735,20.3232599,21.36841942,33.6,-0.333233089,28.5,13.42968902,-0.468053204
58,McMinn,52168,52538,52877,41.7,42.7,43.3,47107,No,187.4,173.3,202.5,135,stable,-0.4,-1.0,0.2,1,19941,20983,21661,38.22458212,39.93871103,40.96488076,1.891181421,47107,Tennessee,0.08,52,0.05,52,-0.11,44,0.19,74,0.09,74,-0.06,24,0.36,71,-0.14,32,0.09,60,0.27,79,-0.07,25,-0.05,30,-0.11,44,0.01,49,-0.01,49,-0.1,34,-0.02,42,0.05,64,23.1,26.06,32.7,13.8,-0.385920484,30.5,22.3,33.5,0.049518637000000004,35.6,17.13318548,-0.458895044,21.00632455,21.67062442,33.7,-0.184608002,35.1,13.64240296,0.648224311
59,McNairy,26061,26025,26004,41.7,42.6,43.1,47109,No,205.4,184.9,227.9,76,stable,-0.2,-0.8,0.5,0,10024,10454,10693,38.46360462,40.169068200000005,41.12059683,0.0,47109,Tennessee,0.1,54,0.12,61,0.07,57,0.03,52,0.06,68,0.0,52,0.3,66,0.05,48,0.47,80,-0.17,29,0.04,66,0.03,58,0.12,53,0.44,82,0.06,54,0.05,56,0.17,87,-0.01,44,26.87,,29.8,12.3,0.456894367,26.3,26.1,35.4,0.18184648,33.4,17.28111679,-0.863865126,24.04558384,23.86627902,38.6,0.7071425170000001,35.4,15.03049943,-0.8401457090000001
60,Meigs,11794,11699,12068,43.0,44.6,44.7,47121,No,214.3,181.7,251.5,34,stable,0.5,-0.8,1.9,0,4649,4933,5162,39.41834831,42.16599709,42.77427909,0.0,47121,Tennessee,0.21,62,0.22,74,0.16,63,0.05,58,-0.01,42,0.02,57,1.14,90,0.27,71,1.1,93,0.04,54,0.17,84,-0.04,34,1.2,90,0.25,69,0.86,91,0.34,82,-0.03,39,0.06,66,24.1,,30.0,14.8,-0.80732791,33.2,35.8,32.7,-0.552526352,34.2,17.12557363,-0.35765252399999997,21.6432532,23.79827923,27.9,-0.630483262,32.0,14.76365206,0.8342705640000001
61,Monroe,44617,45388,46240,41.7,43.3,43.7,47123,No,191.6,176.0,208.4,118,stable,-0.6,-1.2,0.1,0,17097,18495,19353,38.31947464,40.74865603,41.8533737,0.0,47123,Tennessee,-0.3,28,0.18,69,-0.24,29,-0.06,44,0.06,70,0.03,60,-0.38,25,0.23,70,-0.2,34,-0.18,27,0.22,86,0.02,53,0.11,52,0.26,70,-0.09,40,0.2,70,0.18,88,0.06,67,,,31.1,14.5,-0.80732791,21.4,36.4,35.4,-0.128104431,33.3,19.17486221,-0.580386069,23.135038899999998,24.33545934,35.5,-0.630483262,35.2,16.9044975,1.392409321
62,Montgomery,173168,188979,200182,30.0,30.3,30.8,47125,No,188.4,177.7,199.5,247,falling,-1.0,-1.5,-0.5,1,38782,43670,47852,22.39559272,23.108387699999998,23.90424714,0.49954541399999997,47125,Tennessee,-0.82,10,-0.06,41,-0.6,9,-0.21,25,0.1,79,-0.05,28,-0.85,10,-0.11,36,-0.57,7,-0.28,16,0.13,80,0.02,55,-1.07,8,-0.35,16,-0.73,5,-0.34,17,0.1,76,-0.07,26,15.89,28.79,29.6,13.8,2.98533892,17.8,27.5,32.1,1.327564912,33.0,15.99356335,1.687446385,21.82451907,24.17366546,29.0,1.301642864,25.8,11.91680323,-0.468053204
63,Moore,6333,6298,6384,43.4,44.8,45.4,47127,Yes,123.2,93.9,160.5,12,falling,-2.1,-3.8,-0.4,0,2557,2706,2790,40.37580925,42.96602096,43.70300752,0.0,47127,Tennessee,-1.16,4,-0.55,6,-1.3,2,0.14,69,-0.15,16,0.12,82,-0.83,11,-0.39,16,-0.81,3,-0.02,47,-0.06,29,0.0,47,-1.5,4,-0.65,7,-0.62,7,-0.88,2,-0.21,8,-0.01,43,,,29.7,20.3,-0.385920484,29.4,25.2,32.4,0.048558025,33.4,16.15039938,-0.074173467,16.48996235,18.53715629,32.0,-0.035982916000000004,31.1,13.49717969,0.090085554
64,Morgan,22018,21688,21636,39.9,41.3,42.2,47129,No,180.7,158.0,206.0,48,stable,-0.8,-1.7,0.0,0,7569,8006,8380,34.37641929,36.91442272,38.73174339,0.0,47129,Tennessee,0.06,50,-0.12,30,-0.05,47,0.1,62,-0.1,24,-0.03,38,0.23,63,0.07,51,0.08,59,0.15,69,0.04,62,-0.04,36,-0.2,34,0.14,60,-0.38,23,0.18,67,0.01,50,0.04,54,,,29.2,13.9,-0.80732791,26.4,31.4,31.5,0.43143707,32.2,16.89358325,-0.33740402,21.08681272,23.93884146,30.3,0.7071425170000001,32.4,13.96989356,0.27613180600000004
65,Obion,31821,30815,30385,41.4,42.5,42.8,47131,No,214.1,194.6,235.2,92,stable,0.0,-0.5,0.6,1,12159,12352,12351,38.21061563,40.08437449,40.64834622,3.2910975810000003,47131,Tennessee,0.13,56,0.04,49,-0.04,48,0.16,72,0.09,75,0.0,54,-0.17,43,0.19,65,0.05,57,-0.22,24,0.03,60,-0.07,25,-0.15,39,0.19,64,-0.12,37,-0.03,40,0.03,61,-0.07,23,23.36,29.84,30.9,13.2,1.7211166430000002,16.7,26.4,32.1,0.35230846299999996,36.2,15.92131551,0.006820549,20.7448689,22.35457133,33.6,0.40989234399999996,38.0,14.48487046,0.462178059
66,Overton,22094,21948,22012,41.6,42.7,43.4,47133,No,217.0,193.8,242.4,67,stable,-0.3,-1.1,0.5,0,8476,8809,9091,38.36335657,40.13577547,41.30019989,0.0,47133,Tennessee,0.16,59,-0.09,33,0.28,72,-0.12,34,-0.13,18,0.0,55,0.2,61,-0.13,33,0.19,73,0.01,51,-0.08,22,0.05,64,0.21,61,-0.05,39,0.17,64,0.04,50,-0.09,23,0.04,58,28.4,,28.9,12.9,0.035486941,27.4,28.1,31.4,-1.0789945779999999,32.2,17.44064342,0.027069053,20.68890176,21.97575013,33.0,-0.779108349,35.1,15.39689781,-0.8401457090000001
67,Perry,7938,7819,7975,43.0,43.4,43.4,47135,No,216.0,178.5,259.9,25,stable,0.0,-1.4,1.5,1,3267,3280,3355,41.15646259,41.94909835,42.06896552,12.53918495,47135,Tennessee,0.31,69,0.55,90,0.57,81,-0.25,18,0.06,66,0.29,95,-0.21,35,0.49,86,0.18,72,-0.39,10,-0.06,32,0.29,94,0.15,56,0.28,75,0.39,77,-0.24,24,0.0,49,0.31,95,,,31.5,17.5,-0.385920484,24.8,28.2,29.3,0.642727594,31.0,19.6555538,1.36347032,22.2624383,23.31639972,31.4,-0.035982916000000004,34.2,16.31785481,-1.956423223
68,Pickett,5073,5068,5073,47.4,48.8,50.4,47137,Yes,158.7,123.3,203.9,15,stable,-0.5,-1.8,0.9,0,2345,2451,2567,46.22511335,48.36227309,50.60122216,0.0,47137,Tennessee,0.14,58,0.45,86,0.02,52,0.12,64,0.03,58,0.12,83,-0.67,16,0.49,85,-0.38,21,-0.29,15,-0.06,30,0.34,95,-0.73,15,0.0,47,-0.16,34,-0.57,5,-0.05,32,0.18,91,,,30.6,16.7,-0.80732791,,,31.3,-0.360726661,36.6,22.28701826,-0.29690701199999997,19.47462463,20.43363712,33.1,-1.076358522,34.7,15.46932355,-1.398284466
69,Polk,16817,16685,16757,42.6,44.3,45.4,47139,No,209.5,183.6,238.4,50,stable,-0.8,-1.9,0.3,0,6547,6908,7254,38.93084379,41.402457299999995,43.28937161,0.0,47139,Tennessee,0.7,83,0.17,67,0.39,77,0.31,83,0.09,76,0.09,76,0.61,79,-0.05,40,0.09,61,0.52,89,0.02,57,-0.05,33,0.64,75,0.2,67,0.56,83,0.07,59,0.1,74,0.05,62,22.79,,31.3,17.2,-0.80732791,24.7,28.9,31.5,-1.085358997,35.4,18.500727800000003,-0.600634573,20.37492592,22.99936175,34.9,-1.2249836090000001,33.2,15.310717499999999,-0.654099456
70,Putnam,72569,74913,77674,36.0,36.0,36.1,47141,No,201.5,188.2,215.5,176,stable,-0.2,-0.7,0.3,1,23731,25379,26457,32.70129118,33.87796511,34.06159075,1.2874320879999999,47141,Tennessee,-0.78,12,-0.3,17,-0.45,13,-0.33,12,-0.24,6,0.0,47,-0.88,9,-0.35,17,-0.41,13,-0.47,6,-0.18,10,-0.06,29,-0.56,22,-0.18,29,-0.42,19,-0.14,30,0.01,52,-0.09,19,18.98,24.34,27.3,16.8,1.299709218,16.6,18.1,32.5,0.857235361,31.5,20.39239997,0.330796614,21.0216212,22.8790995,32.6,1.0043926909999998,27.3,15.36638291,-0.8401457090000001
71,Rhea,31857,32525,32691,39.9,40.8,41.0,47143,No,194.9,176.0,215.4,82,falling,-0.7,-1.3,-0.2,0,11586,12286,12676,36.36877295,37.77401998,38.77519807,0.0,47143,Tennessee,0.79,87,-0.12,31,0.32,74,0.47,87,0.04,60,-0.07,19,0.31,67,0.15,60,0.04,55,0.26,78,0.0,52,0.0,48,0.2,59,0.31,76,0.09,59,0.1,63,-0.01,47,0.03,53,24.08,24.55,31.3,12.6,-0.80732791,24.6,19.8,37.2,0.110403078,33.1,17.49206471,-0.21591299600000002,21.57522419,22.56601335,30.4,0.112642171,38.3,14.58461067,0.27613180600000004
72,Roane,54157,52827,53036,45.0,46.5,47.2,47145,No,185.2,172.0,199.3,152,falling,-0.7,-1.1,-0.3,0,22978,23857,24469,42.42849493,45.16061862,46.13658647,0.0,47145,Tennessee,-0.25,32,-0.53,7,-0.16,37,-0.08,39,-0.16,13,-0.06,22,0.24,64,-0.47,14,0.14,68,0.09,62,-0.2,8,-0.13,11,0.33,65,-0.2,27,0.25,68,0.07,60,-0.1,20,-0.07,27,23.9,20.4,31.1,13.2,-0.80732791,24.6,15.7,32.6,-0.334886793,37.4,14.865930599999999,-0.37790102799999997,19.43165794,20.57756987,34.1,0.261267258,35.1,13.167466899999999,1.020316816
73,Robertson,66355,67869,70177,37.7,38.4,38.9,47147,No,187.2,173.0,202.3,135,falling,-0.8,-1.3,-0.2,2,20917,23256,24950,31.52286941,34.26601247,35.55295895,2.849936589,47147,Tennessee,-0.78,11,-0.16,23,-0.39,16,-0.4,5,0.01,47,0.04,64,-0.92,8,-0.34,19,-0.38,17,-0.54,3,-0.07,24,0.02,52,-0.84,12,-0.45,14,-0.35,27,-0.49,8,-0.06,30,-0.06,28,17.94,25.82,31.3,17.0,0.456894367,15.4,23.9,32.9,-1.4046102130000002,32.2,17.6709164,1.221730792,18.07511426,19.80442566,35.6,-1.6708588690000001,33.0,13.88013159,1.392409321
74,Rutherford,263747,288608,317157,32.3,33.3,33.7,47149,No,170.3,162.5,178.4,380,falling,-1.4,-1.7,-1.1,1,63681,76046,85835,24.14472961,26.34923495,27.06388319,0.315301255,47149,Tennessee,-1.18,3,-0.52,9,-0.9,3,-0.27,16,-0.06,32,-0.08,16,-1.29,2,-0.87,4,-0.85,2,-0.44,8,-0.26,4,-0.09,21,-1.52,3,-0.87,3,-0.97,2,-0.55,6,-0.21,7,-0.15,10,17.52,23.59,30.9,14.2,-0.385920484,14.5,17.1,31.3,-0.399467874,27.2,16.52548528,1.079991264,17.10114446,18.21121858,33.0,-0.481858176,26.1,12.07443508,1.206363069
75,Scott,22227,21986,21989,38.2,38.9,39.6,47151,No,241.0,214.5,270.0,63,stable,-0.5,-1.1,0.1,0,7330,7728,7993,32.97790975,35.14964068,36.34999318,0.0,47151,Tennessee,0.6,78,0.31,83,0.61,83,-0.01,47,-0.03,38,0.04,63,0.98,89,0.99,93,0.29,77,0.69,94,0.38,94,0.13,83,1.33,92,0.64,88,0.85,90,0.48,86,0.15,86,0.16,88,26.22,,29.6,11.0,-0.80732791,45.5,51.1,29.9,1.582171426,38.1,18.34755419,-0.681628589,24.34946839,25.20508227,28.9,0.7071425170000001,38.8,14.67784979,-0.654099456
